Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
85	-656.73553	36.42191	-584.777	-684.3168	6.0	-78.98728	28.706465	74.78427	-84.91551	2580	2.9740233e-08	292804.28	-0.027435375	-8967.0	0.35434243	-0.0416535	0.1	79.0	48402.220833063126
86	31.383873	533.72675	507.87842	-686.9729	3.75	-81.16951	26.85293	59.55398	-87.502495	2610	1.5894573e-08	270091.28	-0.018061439	-411.625	0.32094386	0.0031124512	0.1	79.0	49013.412883520126
87	-28.766964	549.8948	503.42947	-666.1354	4.142857	-88.54911	0.0004528781	-88.54667	-88.549194	2640	-2.2848447e-08	260993.33	-0.037772704	-162.07812	0.31065658	0.01570759	0.13333334	8.0	49603.88336658478
88	-310.35037	512.6898	504.1072	-690.3717	5.0	-88.88337	1.3749709	-82.24168	-89.23851	2670	-2.9802322e-08	278604.44	-0.025641646	-1283.2812	0.30983162	0.015195026	0.13333334	39.0	50128.01486849785
89	37.66903	543.0746	508.17743	-680.66766	3.75	-82.1906	32.359875	78.372185	-90.98608	2700	1.1920929e-08	271324.06	-0.017578749	-654.40625	0.31921098	0.017179945	0.2	13.0	50743.80728340149
90	-94.4162	489.90546	502.64142	-660.553	4.8333335	-86.18896	27.576637	62.00554	-91.979004	2730	0.0	206687.39	-0.033007026	-443.875	0.32055947	0.016686274	0.06666667	4.0	51299.086013793945
91	240.61423	463.02448	507.77536	-701.36584	2.9	-86.951675	31.444407	82.38162	-92.79079	2760	-7.947286e-09	264475.34	-0.020905474	-36.125	0.32027054	0.016066788	0.1	18.0	51912.07706069946
92	388.6283	311.00546	527.62054	-628.0213	2.4166667	-84.18611	32.828518	82.27803	-92.5334	2790	6.556511e-08	275403.16	-0.020583216	-13567.172	0.3137494	0.023940915	0.0	3.0	52577.54649233818
93	-17.808655	568.63916	503.81335	-682.93414	4.285714	-91.21065	0.2651068	-89.78316	-91.26125	2820	7.947286e-09	264755.62	-0.012222461	-72.28125	0.31229743	0.01634661	0.13333334	21.0	53153.8740336895
94	-6.2985144	554.559	502.4473	-695.4746	3.857143	-85.25842	31.21209	81.78949	-91.68347	2850	-1.4404455e-08	230999.02	-0.024744475	-5171.375	0.30281773	0.0158188	0.1	17.0	53726.55023550987
95	-214.44693	510.50146	485.4374	-683.2503	5.0	-46.923008	75.989655	82.83374	-92.82994	2880	1.7881394e-08	258839.94	-0.016164193	-52294.047	0.2987837	-0.0046643973	0.033333335	79.0	54283.69028687477
96	-16.635014	562.9685	511.0882	-675.4917	3.857143	-92.46259	3.999953	-70.922195	-93.2054	2910	-2.036492e-08	235446.55	-0.0059605944	-4596.1094	0.27708584	0.0157575	0.0	13.0	54856.48135781288
97	-115.946106	551.11237	507.91483	-671.31274	4.5	-94.28931	0.011024932	-94.235535	-94.29277	2940	2.3841858e-08	233230.61	-0.02678208	-318.46875	0.27457047	-0.009983417	0.1	79.0	55396.30703139305
98	-152.3304	572.6962	508.9857	-685.68445	3.857143	-95.27487	0.27619326	-93.78751	-95.32615	2970	-1.7881394e-08	241286.25	-0.020615555	-1505.9531	0.2709893	-0.008878239	0.16666667	79.0	55984.342979192734
99	173.86426	496.31335	508.8135	-693.6381	3.5	-97.38325	0.034421798	-97.20369	-97.39255	3000	-3.0795732e-08	259139.44	-0.013222385	-32.40625	0.23986673	-0.016105972	0.033333335	79.0	56612.11749005318
100	72.98729	518.9795	506.25433	-665.8173	3.75	-88.51572	32.004997	46.777657	-97.19126	3030	2.1855037e-08	283026.28	-0.045188233	-9699.6875	0.24510778	0.015167499	0.46666667	29.0	57170.573016643524
101	186.29976	504.8921	506.70474	-694.3592	3.125	-97.55467	0.002201349	-97.542816	-97.5551	3060	-3.0299027e-08	249231.7	-0.022171406	-0.375	0.24554113	0.008984069	0.13333334	79.0	57747.11567544937
102	445.08524	67.13789	506.9086	312.86768	3.125	-94.50481	16.254253	-6.9742985	-97.54012	3090	-2.1060308e-07	228635.45	-0.037092846	-10030.922	0.23740909	0.0049956143	0.2	79.0	58329.455147981644
103	-0.5021798	566.22	519.62555	-685.7203	3.857143	-84.65822	40.08967	84.969025	-95.31565	3120	-2.7318796e-08	247392.33	-0.024898997	-5474.6875	0.2372689	-0.025455544	0.1	79.0	58886.076199769974
104	153.39914	484.88278	501.5968	-697.15356	3.75	-95.97846	0.007710438	-95.93691	-95.979866	3150	-4.3710074e-08	259263.5	-0.036401737	-76.921875	0.24415302	0.018095162	0.46666667	12.0	59465.47372174263
105	476.38657	40.007114	506.99954	379.4643	2.3076923	-94.947426	3.2583442	-77.40266	-95.56177	3180	1.3212363e-06	296255.78	-0.028823843	-11225.5	0.24515489	0.015620698	0.26666668	10.0	60135.97754263878
106	231.91455	445.08337	505.92178	-657.4799	3.2222223	-74.797714	47.577847	75.359955	-92.7736	3210	-4.5696893e-08	239949.19	-0.037120793	-7747.078	0.24480295	0.01655416	0.16666667	14.0	60729.00096106529
107	-459.49625	429.84296	400.09515	-682.6734	5.6	-71.77291	53.974785	82.28881	-92.345985	3240	2.9802322e-08	274219.75	-0.03354354	-27258.0	0.24193811	-0.012432595	0.26666668	79.0	61282.835673093796
108	-23.571537	547.86566	503.14627	-685.3186	4.285714	-93.73062	0.03973887	-93.51667	-93.738174	3270	-3.576279e-08	245829.56	-0.023624068	-158.45312	0.24157415	-0.016422508	0.16666667	79.0	61845.32390546799
109	263.13458	465.06985	506.56146	-677.6604	2.5	-87.22017	32.32417	84.2184	-94.49937	3300	8.940697e-09	246867.23	-0.012928946	-1574.5938	0.21662955	-0.023254614	0.033333335	79.0	62491.4332549572
110	256.91354	385.8428	502.33752	-677.2109	4.142857	-94.52004	0.65549564	-91.244026	-94.680305	3330	9.934108e-09	246717.17	-0.029216833	-1844.3906	0.20126005	0.016062068	0.26666668	9.0	63086.45544672012
111	47.63276	558.64624	504.78815	-680.19165	3.625	-92.049614	6.2935753	-58.15768	-93.21891	3360	2.880891e-08	271530.78	-0.022385882	-985.625	0.19964235	0.017428156	0.13333334	15.0	63659.3340511322
112	274.08063	396.27264	507.9804	-685.1087	3.5714285	-93.52771	0.22827126	-92.29845	-93.570114	3390	-3.973643e-08	222980.16	-0.0072545074	-392.14062	0.19481798	0.020921329	0.0	4.0	64220.23165392876
113	-74.240845	568.9712	507.56357	-680.862	3.625	-85.54634	31.496881	82.60215	-92.59048	3420	6.556511e-08	257401.53	-0.0071661174	-2218.5625	0.19349909	0.01929375	0.0	13.0	64793.558626651764
114	-51.259632	532.7396	504.1738	-686.7375	4.285714	-88.319305	32.011295	84.0668	-94.26365	3450	-3.1789146e-08	237429.4	-0.04689929	-307.82812	0.19069274	0.016892994	0.43333334	11.0	65355.34026789665
115	130.27766	509.89276	506.9903	-672.98083	3.5714285	-84.75029	39.6803	79.54743	-95.29246	3480	-2.1855037e-08	213543.05	-0.0035616993	-1158.9531	0.18770294	0.01502793	0.0	25.0	65948.30896925926
116	-31.076426	560.0854	503.83115	-678.8788	4.0	-89.71827	32.53303	85.4774	-95.76399	3510	-5.4637592e-08	249978.77	-0.020430323	-305.46875	0.18211918	0.017953988	0.0	5.0	66506.79948759079
117	123.183235	491.10626	498.5312	-673.3435	4.142857	-84.27866	39.968353	69.179726	-96.72093	3540	-3.7749608e-08	268464.9	-0.025450973	-13610.719	0.18027306	0.019131787	0.06666667	5.0	67085.22393512726
118	250.30318	454.5472	517.2078	-666.5467	3.0	-95.01199	6.764685	-58.583073	-96.26819	3570	7.947286e-09	271651.56	-0.020993661	-4845.25	0.17846064	0.00096360245	0.06666667	79.0	67699.66232848167
119	-19.791233	561.431	506.3892	-671.8453	4.285714	-80.46464	47.288235	85.37947	-95.632965	3600	1.39077505e-08	279074.06	-0.0454816	-2228.8125	0.15688463	-0.003217574	0.16666667	79.0	68241.27162742615
